2018-04-22 22:59:05,975 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-22 23:01:04,624 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-22 23:01:04,628 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-22 23:01:04,631 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-22 23:01:04,632 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-22 23:01:55,005 [Worker-10] INFO  o.e.m.i.launch.MavenLaunchDelegate - /Users/geravelascom/Downloads/Step07
2018-04-22 23:01:55,006 [Worker-10] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B tomcat7:run
2018-04-22 23:04:36,418 [Worker-10] INFO  o.e.m.i.launch.MavenLaunchDelegate - /Users/geravelascom/Downloads/Step07
2018-04-22 23:04:36,420 [Worker-10] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B tomcat7:run
2018-04-22 23:11:21,922 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-22 23:11:21,923 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-22 23:11:21,925 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-22 23:11:21,926 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-22 23:14:42,671 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-22 23:14:42,673 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-22 23:14:42,674 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-22 23:14:42,674 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-22 23:14:50,207 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-22 23:14:50,209 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-22 23:14:50,214 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-22 23:14:50,215 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
